"Registry name","Career","Buy 1","Buy 2","Sell"
"forestry:arborist","arborist","","",""
"","","Emerald","","Cocobolo Wood Planks"
"","","Emerald","","Common Hazel Sapling"
"","","Emerald","","Zebrawood Wood Planks"
"","","Emerald","","Proven Grafter"
"","","Emerald","","Wenge Pollen"
"","","Emerald","","Mahogany Wood"
"","","Emerald","","Chestnut Wood"
"","","Emerald","","Apple Oak Pollen"
"","","Emerald","","Cranberry Sapling"
"actuallyadditions:engineer","actuallyadditions.crystallizer","","",""
"","","Emerald","","Void Crystal"
"","","Emerald","","Enori Crystal"
"","","Emerald","","Restonia Crystal"
"","","Void Crystal","","Emerald"
"","","Emerald","","Emeradic Crystal"
"","","Emerald","","Palis Crystal"
"","","Enori Crystal","","Emerald"
"","","Restonia Crystal","","Emerald"
"","","Emerald","","Diamatine Crystal"
"","","Palis Crystal","","Emerald"
"","","Diamatine Crystal","","Emerald"
"","","Emeradic Crystal","","Emerald"
"actuallyadditions:engineer","actuallyadditions.engineer","","",""
"","","Emerald","","Black Quartz Ore"
"","","Emerald","","Black Quartz"
"","","Emerald","","Laser Wrench"
"","","Coffee Beans","","Emerald"
"","","Emerald","","Phantom Connector"
"","","Emerald","","Energy Laser Relay"
"","","Tiny Torch","","Emerald"
"","","Emerald","","Wood Casing"
"","","Emerald","","Iron Casing"
"","","Empowerer","","Emerald"
"","","Emerald","","Extreme Energy Laser Relay"
"actuallyadditions:jamguy","actuallyadditions.jammer","","",""
"","","Emerald","","CuBaRa-Jam"
"","","Emerald","","GraKiBa-Jam"
"","","Emerald","","PlApLe-Jam"
"","","Emerald","","ChApCi-Jam"
"","","Emerald","","HoMeKi-Jam"
"","","Emerald","","HoMeCo-Jam"
"","","Emerald","","PiCo-Jam"
"pneumaticcraft:mechanic","pneumaticcraft.mechanic","","",""
"","","Emerald","","PCB Blueprint"
"","","Emerald","","Nuke Virus"
"","","Emerald","","STOP! Worm"
"","","Emerald","","Assembly Program: Drill"
